timestamp, current1, current2, current3, current4, accel x, accel y, accel z, degrees x, degrees y, degrees z, baro temp, baro pressure
3613, 0.000410156, 0.00625488, 0.0233789, 0.0070752, -0.00733915, 0.171247, 10.1941, -1.57166, 2.57874, 0.274658, 26.2417, 91097
3623, 0.00543457, 0.00953613, 0.0263525, 0.00748535, 0.00489277, -0.0464813, 9.9103, -0.549316, 2.31934, 0.12207, 26.2521, 91096.9
3633, 0.00543457, 0.00871582, 0.0229687, 0.00748535, -0.183479, 0.161461, 10.0889, 0.488281, -3.02124, -0.213623, 26.2521, 91097
3643, 0.00123047, 0.00830566, 0.0229687, 0.00748535, 0.17614, 0.168801, 9.66811, 0.640869, -0.823975, -0.442505, 26.2516, 91097.2
3653, 0.000820312, 0.00830566, 0.0251221, 0.00871582, -0.0513741, 0.0978554, 9.85404, -0.152588, -3.66211, -0.106812, 26.2505, 91096.8
3663, 0.000410156, 0.00789551, 0.0267627, 0.00830566, 0.702112, 0.122319, 8.97089, -0.946045, 0.839233, 0.0762939, 26.2491, 91097.3
3673, 0.000820312, 0.00625488, 0.0259424, 0.010459, -0.110087, 0.17614, 10.0253, -1.58691, 9.58252, -0.732422, 26.2421, 91096.8
3683, 0.000820312, 0.00369141, 0.0251221, 0.010459, -0.0587132, 0.0440349, 9.92743, -1.58691, 2.21252, -0.396728, 26.2505, 91096.8
3703, 0.00205078, 0.00625488, 0.0251221, 0.00451172, 0.0366958, 0.117426, 9.74395, 0.137329, 0.228882, 0.244141, 26.2475, 91097.5
3713, 0.00164062, 0.00748535, 0.0263525, 0.00830566, -0.467259, -0.00489277, 10.128, 0.396728, 0.152588, -0.411987, 26.2372, 91097
3723, 0.000410156, 0.00830566, 0.0251221, 0.0129199, 0.222621, 0.0513741, 9.3721, 0.457764, -1.64795, -0.427246, 26.2428, 91097.2
3733, 0.000410156, 0.00871582, 0.0259424, 0.0129199, -0.188372, 0.0807307, 9.90541, 0.427246, 2.92969, -0.595093, 26.2455, 91096.7
3743, 0.00246094, 0.00871582, 0.0229687, 0.00871582, -0.146783, 0.102748, 9.7415, 0.274658, 2.36511, -0.778198, 26.2532, 91097.3
3753, 0.00205078, 0.00871582, 0.0229687, 0.00543457, 0.173693, 0.119873, 9.58249, -0.335693, 3.20435, -0.213623, 26.2462, 91097
3763, 0.00246094, 0.00789551, 0.0263525, 0.0108691, -0.134551, 0.154122, 9.8785, -0.656128, 4.82178, -0.38147, 26.2499, 91097.9
3783, 0.000820312, 0.00912598, 0.0284033, 0.00912598, -0.366958, 0.063606, 10.1647, 0.305176, 0.305176, -0.0762939, 26.2406, 91097
3793, 0.000410156, 0.00830566, 0.0284033, 0.00912598, -0.239746, 0.0464813, 9.95189, 0.762939, -3.69263, 0.167847, 26.2578, 91097.5
3803, -0.000410156, 0.00830566, 0.0284033, 0.00748535, -0.0587132, 0.14189, 9.80755, 0.991821, -5.18799, 0.427246, 26.2454, 91096.9
3813, 0.00123047, 0.00666504, 0.0263525, 0.00912598, 0.0856234, 0.149229, 9.6412, 0.473022, -3.2196, 0.518799, 26.2495, 91097.8
3823, 0.00369141, 0.00666504, 0.0229687, 0.00871582, 0.156569, -0.0684988, 9.5409, 0.0915527, 1.00708, 0.137329, 26.2481, 91097.2
3833, 0.00287109, 0.00912598, 0.0241992, 0.00748535, 0.472152, 0.0905162, 9.5091, 0.228882, -11.2457, 0.701904, 26.2504, 91097.7
3843, 0.00287109, 0.00871582, 0.0241992, 0.00748535, 0.154122, 0.234853, 9.69502, -0.442505, 1.66321, 0.0762939, 26.2472, 91097.3
3853, 0.00164062, 0.0070752, 0.0241992, 0.00830566, 0.259317, 0.00978554, 9.56047, -0.732422, 1.95312, -0.106812, 26.2477, 91097.5
